full_text,created_at,label1,label2,label3
Di mana pemerintah kita? Apakah kita diam saja? Jangan hanya karena Gaza kita bersuara. Ini lebih berbahaya dan parah. Kehancuran peradaban manusia sudah didepan mata. @prabowo https://t.co/10IZ9g0zG4,2025-10-31 23:04:44+00:00,Positif,Negatif,Positif
1. Pak Prabowo jangan ikut2an Jokowi. Yang Jokowi katakan bertolak belakang dengan yang dia kerjakan. Dia Raja Bohong. Luar biasa bohongnya (Faisal Basri) #GantungJokowiNegarawanPalsu #GantungJokowiNegarawanPalsu https://t.co/uJeVrWG3eR,2025-10-31 18:49:34+00:00,Negatif,Negatif,Negatif
Visi PRESISI dan Agenda Reformasi Polri di Era Pemerintahan Prabowo Subianto: Sinergi Etika Teknologi dan Keadilan https://t.co/rDa3l6M7Nc,2025-10-31 18:39:30+00:00,Positif,Positif,Positif
Satu tahun pemerintahan presiden Prabowo Subianto pembangunan IKN maju tanpa ragu https://t.co/JwgQdcFsnK,2025-10-31 23:41:48+00:00,Negatif,Positif,Negatif
Media Inggris The Guardian: IKN di Bawah Prabowo Terancam Jadi Kota Hantu https://t.co/PG78BzoAEt lewat @Keuangan News https://t.co/DhxxYQLIH3,2025-10-31 21:54:10+00:00,Negatif,Negatif,Negatif
Dengan kepemimpinan Presiden Prabowo TNI bisa kasih solusi nyata buat akses air bersih di Kampung Bulangkop Papua makin maju bro #TNIJagaPapua https://t.co/tAQFtmWT1Q,2025-10-31 22:08:45+00:00,Positif,Positif,Positif
Kolaborasi masyarakat dengan Presiden Prabowo buat Sekolah Rakyat di Jateng pantas diacungi jempol #SekolahRakyat https://t.co/OnDWLvYPQj,2025-10-31 22:22:24+00:00,Positif,Positif,Positif
@ins_d21 @OmJ_J3Nggott @prabowo @RajaJuliAntoni Masyarakat bisa mengajukan verifikasi status lahan ke Badan Pertanahan Nasional (BPN) untuk konfirmasi bahwa izin tambang galian C telah dicabut atau expired setelah 20 tahun terlantar sesuai UU Minerba dan UUPA. Jika terbukti ditinggalkan lahan wajib direklamasi oleh negara,2025-10-31 23:39:32+00:00,Positif,Negatif,Positif
Sebangsat inikah @pertamina ... Selama pemerintahan pak @prabowo Berapa kasus mengenai @pertamina dan @KementerianESDM yg muncul dan terungkap serta bikin heboh publik / masyarakat? Kasus maha besar OPLOSAN PERTAMAX masih di periode pak @jokowi https://t.co/sN06IQgxdh,2025-10-31 17:47:25+00:00,Positif,Negatif,Positif
Jalur Cepat Atasi Krisis Dokter: Prabowo Siap Kirim Ratusan Mahasiswa RI Kuliah Kedokteran ke Selandia Baru https://t.co/vOf3jbmKlp #prabowoguncangpbb #KTT #APEC2025 #Prabowo #dokter #NewZealand #PikiranRakyatKuningan,2025-10-31 16:17:35+00:00,Positif,Positif,Positif
Langkah strategis Presiden @prabowo dalam memperkuat kerja sama pendidikan dgn Selandia Baru menjadi bukti bahwa peningkatan kualitas SDM tetap menjadi prioritas utama Indonesia. Pertukaran pelajar &amp; kolaborasi antarpendidik adalah jembatan menuju masa depan yg lebih cerdas https://t.co/X3wmrtGP6d,2025-10-31 23:43:00+00:00,Positif,Positif,Positif
Purbaya Berpeluang Gagalkan Prabowo-Gibran Dua Periode https://t.co/bLvq4F1XB8,2025-10-31 23:18:53+00:00,Negatif,Positif,Negatif
salut untk Polri! Konsisten jaga kualitas MBG dukung program Pres Prabowo. Pancarkan aura positif bg bangsa ini https://t.co/UPJPorqPpf,2025-10-31 22:28:22+00:00,Negatif,Positif,Negatif
bangga sm Polri yg ambil bagian dlm menjaga kualitas makanan MBG Demi program kesehatan Prabowo. Ayo semangat terus https://t.co/BxmmdHqLmv,2025-10-31 18:47:19+00:00,Negatif,Positif,Negatif
keren banget Polri serius jaga kualitas makanan MBG utk program Prabowo! Terus maju demi sehatnya Indonesia https://t.co/hci7yh31HT,2025-10-31 18:40:27+00:00,Negatif,Positif,Negatif
kerja cerdas Polri! Asupan sehat dr MBG bantu sukses prgm Bpk Prabowo. Pakai hati dan otot gas terus https://t.co/tUkndIfaBp,2025-10-31 20:39:52+00:00,Negatif,Positif,Negatif
Presiden @prabowo Subianto disambut hangat oleh Presiden Korea Selatan dan Ibu Negara pada Gala Dinner KTT APEC 2025 di Seoul. https://t.co/d8LTaxR3FV,2025-10-31 15:14:19+00:00,Positif,Positif,Positif
#PoldaMetroJaya #DPR_RI #Prabowo #PTUN #KejaksaanRI #ICJ #ICC Tidak ada bukti ijazah Jokowi Asli ! Diduga menyembunyikan barang bukti kejahatan pemalsuan dokumen negara berdasarkan pasal 263 di pidana paling lama 7 tahun. https://t.co/BNYEzJPKHs,2025-10-31 23:42:00+00:00,Positif,Negatif,Positif
andalan Polri emang solid dlm mendukung visi Prabowo. Trskan kerjasama hebat ini demi rakyat yg lebih sehat https://t.co/Rd8xxyUqgl,2025-10-31 23:12:51+00:00,Negatif,Positif,Negatif
mantap Polri! Kualitas makanan terjaga dgn baik demi mendukung program Prabowo. Kalian adalah pahlawan kesehatan https://t.co/GuaCGSiceB,2025-10-31 23:53:59+00:00,Negatif,Positif,Negatif
Prabowo Subianto resmi mencabut Perpres Nomor 98 Tahun 2021 yang sebelumnya menempatkan Luhut Binsar Pandjaitan sebagai Ketua Komite Pengarah Pengendalian Emisi Nasional. https://t.co/ssZNVvhzHp,2025-10-31 23:22:26+00:00,Positif,Positif,Positif
Ga bertahan lama jatoh pemerintahan ini gatau kenapa feeling gua kuat aja gitu ngeliat kelakuan pemerintag dari pusat sampai daerah menyikapi kritik masyarakat. Padahal kalau prabowo luwes aja dan pede nyikatnyikatin orang disekitarnya bisa smooth hmm,2025-10-31 23:01:52+00:00,Positif,Negatif,Positif
Hehehe... Makin ke sini memang makin mbingungi soal Danantara Presiden @prabowo ini. Di Singapura yang namanya Tamasek dan GIC memberi kontribusi 20% lebih untuk kebutuhan belanja Pemerintah Singapura. Mendanai berbagai program pemerintah di pendidikan kesehatan,2025-10-31 16:17:37+00:00,Positif,Negatif,Positif
Presiden Prabowo yg akan bekerja selalu diganggu oleh termul2 di kabinet merasa TDK nyaman maka Prabowo tempatkan diposisi strategis seorang koboi utk hajar para termul2 tsb yg edit keren https://t.co/qOUOuc8vsN,2025-10-31 16:16:17+00:00,Positif,Negatif,Positif
Prabowo Dorong Mahasiswa Kedokteran Indonesia Kuliah di Selandia Baru https://t.co/1fwUMDAmbi,2025-10-31 16:35:06+00:00,Positif,Positif,Positif
Presiden Prabowo: Indonesia dan Selandia Baru Siap Perluas Kerja Sama Bidang Pendidikan hingga Kesehatan https://t.co/ubRl04GgXt,2025-10-31 17:03:25+00:00,Positif,Positif,Positif
Negara Pancasila Abad 21: Rekonstruksi Menuju Strong Ethical State - Refleksi Filosofis atas Visi Kepemimpinan Prabowo Subianto https://t.co/1AEzUMk3s6,2025-10-31 18:41:18+00:00,Negatif,Positif,Negatif
Kepala BGN dapat nilai 8 dari Prabowo Subianto berkat penyaluran MBG https://t.co/OkxCDWZ3b9,2025-10-31 23:07:42+00:00,Positif,Positif,Positif
Tanpa penegakan hukum atas keracunan MBG. Citra Pak @prabowo bisa runtuh di 2026. RUU Perampasan Aset tidak jelas. Menteri ESDM blunder mulu. Pertambangan ilegal masih marak dan merusak lingkungan.,2025-10-31 17:53:05+00:00,Positif,Negatif,Positif
Etika Negara Hukum Pancasila: Refleksi Filsafat atas Politik Hukum di Era Presiden Prabowo Subianto https://t.co/XG5dCDfydE,2025-10-31 18:42:30+00:00,Positif,Negatif,Positif
Pertemuan Trump-Xi Jinping Prabowo Sebut Ekonomi Dunia Butuh Ketenangan https://t.co/BKvxV2uSvW,2025-10-31 16:49:08+00:00,Positif,Negatif,Positif
Dalam sambutannya Presiden Republik Indonesia Jenderal TNI (Purn.) H. Prabowo Subianto menyampaikan apresiasi dan kepercayaan penuh kepada Kepolisian Negara Republik Indonesia (Polri). Ucapan tersebut menegaskan komitmen Presiden RI dalam memberikan dukungan moral https://t.co/Qsk6ptrFis,2025-10-31 23:41:51+00:00,Negatif,Negatif,Negatif
salut untk Polri! Konsisten jaga kualitas MBG dukung program Pres Prabowo. Pancarkan aura positif bg bangsa ini https://t.co/cp0FL3XhDi,2025-10-31 22:23:11+00:00,Negatif,Negatif,Negatif
bravo Polri! Menjaga mutu makan menjaga negeri. Program2 Pak Prabowo emang bgs jgn kasih kendor https://t.co/UtXQHBNNFw,2025-10-31 17:27:59+00:00,Negatif,Positif,Negatif
mantul bgt Polri! Jaga kualitas makanan MBG xcelling sekali. Support abis deh utk program Pak Prabowo https://t.co/ORIJlVnlnk,2025-10-31 22:53:20+00:00,Negatif,Positif,Negatif
kerja cerdas Polri! Asupan sehat dr MBG bantu sukses prgm Bpk Prabowo. Pakai hati dan otot gas terus https://t.co/WyW8agniiZ,2025-10-31 16:23:37+00:00,Negatif,Positif,Negatif
bangganya lihat Polri all out jaga makanan MBG. Kompak sama program Pak Prabowo bikin kita optimis https://t.co/6yefkFooC0,2025-10-31 16:53:59+00:00,Negatif,Positif,Negatif
polri emg keren bgt ya! Dukung 100% usaha jaga mutu MBG demi suksesnya langkah hebat Prabowo. Maju terus buat negeri https://t.co/zZXs8POhEM,2025-10-31 17:45:02+00:00,Negatif,Positif,Negatif
Pads tanggal 31 Oktober 2014 saya hadir di pemotretan tabloid mingguan gaya hidup dengan Sarah Sechan. Untuk sampul saya memilih tokoh menarik tak terlalu pencitraan mudah kerjasama. Sarah tepat. Syut di Dharmawangsa hotel favorit Presiden Prabowo kalau tidak salah. https://t.co/ZTxE3DrHss,2025-10-31 15:17:39+00:00,Negatif,Positif,Negatif
Prabowo ambil langkah strategis di Korea Selatan 🇮🇩🇰🇷 Tujuannya: memperkuat peran Indonesia dalam forum KTT APEC 2025! Baca selengkapnya https://t.co/MdHpStDxTd #Prabowo #APEC2025 #diplomasi #ekonomi #politikindonesia #megadewa88portal https://t.co/TZROLB8G7F,2025-10-31 20:53:50+00:00,Positif,Positif,Positif
Presiden Prabowo Subianto mengatakan Indonesia saat ini tengah berjuang melawan korupsi hingga pebisnis rakus yang menghambat pertumbuhan ekonomi negara. https://t.co/L8EVzK4qCa,2025-10-31 15:48:07+00:00,Positif,Positif,Positif
Mau bayar pajak kendaraan ini hari sabtu gak buka lah @KemenkeuRI @prabowo . Tolong pelayanan masyarakat di hari sabtu sama minggu di buka pak,2025-10-31 23:25:53+00:00,Positif,Negatif,Positif
ya Allah aku mimpi pak Prabowo ngumumin CPNS resmi dibuka antara februari atau Maret 2026 Bissmillah. tp itu pas puasa gasi ga mungkin kalau ada pembukaan tapi gada yg ga mungkin didunia ini semoga mimpiku jadi nyata,2025-10-31 22:53:52+00:00,Negatif,Positif,Negatif
Kepemimpinan Politik dan Literasi Ekonomi: Relevansi Gagasan Prabowo Subianto dalam Menyiapkan Generasi Pemimpin Indonesia Baru https://t.co/E5eLqVbThu,2025-10-31 18:38:33+00:00,Negatif,Positif,Negatif
Kl mereka tak sanggup mengendalikan Prabowo mereka pasti akan jd bunglon sebelum jadi benalu di inang berikutnya. Sebaiknya benalu benalu bangsa ini diberi perawatan khusus saja.,2025-10-31 22:58:33+00:00,Negatif,Negatif,Negatif
Presiden Prabowo Subianto bentuk tim koordinasi lintas kementerian dukung program makan bergizi gratis https://t.co/0Y4YYzhqrJ,2025-10-31 23:03:51+00:00,Positif,Positif,Positif
Dan Pak @prabowo pun bisa... Teriak Hidup Jokowi...!!! Dan endingnya bakal bikin dia merintih pedih!!!!,2025-10-31 19:08:06+00:00,Negatif,Negatif,Negatif
Usai Bertemu PM Selandia Baru Prabowo Tegaskan Komitmen Perkuat SDM Indonesia https://t.co/XCPFPvtBgp,2025-10-31 17:02:07+00:00,Positif,Positif,Positif
Maklum Prabowo bs jadi Presiden dari hasil kecurangan Pilpres thn 2024-2029.Ribuan suara pemilih digandakan.Bukti kekalahan Prabowo-Gibran semuanya ada di KPU.Setelah pasangan Prabowo terpilih kemudian muncul pembuktian klu memang benar pasangan Prabowo menang pilpres curang .,2025-10-31 20:16:21+00:00,Negatif,Negatif,Negatif
Bisa tidak ya Presiden menonaktifkan memberikan sanksi administratif pejabat daerah yang arogan pada masyarakat? @prabowo @Gerindra @DPR_RI @FPKSDPRRI,2025-10-31 23:49:00+00:00,Positif,Negatif,Positif
Negara Pancasila dan Kedaulatan Energi: Politik Pemberantasan Mafia Migas di Era Presiden Prabowo Subianto https://t.co/5I9rLuELPv,2025-10-31 18:40:47+00:00,Positif,Negatif,Positif
Menteri PU Ungkap Alasan Proyek Tol PSN Prabowo Masih Sepi Peminat https://t.co/MonSi3cSEz,2025-10-31 15:36:10+00:00,Positif,Negatif,Positif
Prabowo Inginkan Percepatan Pembangunan Papua #KerjaNyataPresidenUtkPapua https://t.co/n7JLFpwfbO,2025-10-31 13:36:13+00:00,Positif,Positif,Positif
Presiden Prabowo Prioritaskan Pembangunan Pendidikan di Papua #KerjaNyataPresidenUtkPapua https://t.co/YqrgNXt1JN,2025-10-31 13:34:45+00:00,Positif,Positif,Positif
#Repost @kementerian.atrbpn ... Halo #SobATRBPN setahun kepemimpinan Presiden RI Prabowo Subianto dan Wakil Presiden RI Gibran Rakabuming bersama Kabinet Merah Putih terus mencatatkan hasil positif. Nah Kementerian ATR/BPN sebagai leading sector https://t.co/3C2WgW1WEb,2025-10-31 23:53:14+00:00,Negatif,Positif,Negatif
Prabowo Ingin Perbanyak Mahasiswa Kedokteran Indonesia Kuliah di Selandia Baru https://t.co/oh2iMHw9SI,2025-10-31 16:36:07+00:00,Positif,Positif,Positif
Fraksi PKS Desak Prabowo Perhatikan Maluku Bukan Hanya Pulau Jawa https://t.co/zD7t2KiV7x,2025-10-31 16:53:38+00:00,Positif,Positif,Positif
3 Menteri Prabowo dengan Kepuasan Publik Tertinggi Versi Survei Terbaru https://t.co/uKjdeP76F0,2025-10-31 15:31:19+00:00,Positif,Positif,Positif
Kapan kita kirim Kopasus ke Kamboja pak @prabowo ?,2025-10-31 23:27:36+00:00,Positif,Positif,Positif
Wapres kesayangan Prabowo #RepublikManipulatif,2025-10-31 16:41:39+00:00,Negatif,Negatif,Negatif
@wibisonoys @giginpraginanto @PurbayaYudhi @prabowo Purbaya Yudhi Sadewa sebagai Menkeu baru menunjukkan pendekatan pragmatis seperti menjamin tak naikkan pajak hingga ekonomi capai 6% pertumbuhan. Ia juga merespons kritik secara terbuka termasuk dari Rocky Gerung sambil menolak hoaks soal Freeport. Pernyataan resminya bisa,2025-10-31 22:28:43+00:00,Positif,Negatif,Positif
8% adalah angka yg nggk mustahil bgi pak @prabowo asal jngn ada matahari kembar dlm pemerintahanx &amp; pak @prabowo jngn kalah. Krn klau sampai salah strategi dan kalah 8% hnya akan patamorgana pd akhirnya. N 8% akan mnjdi percuma jika tidak di alokasi danax untuk usha padat karya,2025-10-31 23:19:20+00:00,Positif,Negatif,Positif
Apakah @pertamina Masih dibawah @KementerianESDM ?? Video mungkin hanya konten tp ggak akan berani orang bikin konten klo tidak ada kejadian sebenarnya. PERTAMAX OPLOSAN blm beres muncul lagi masalah ETANOL. Mau sampai kapan bikin susah rakyat? cc: @prabowo @KemenkeuRI,2025-10-31 17:21:04+00:00,Positif,Negatif,Positif
Penegak hukum kok begini perlakuannya..‼ Kapan mau ditransformasi &amp; reformasi..? Muak lihat tingkahnya.. @prabowo,2025-10-31 21:00:18+00:00,Positif,Negatif,Positif
Anda kuat sekali berani main ancam.... Monitor Yth Bpk Presiden @prabowo @DPR_RI @KejaksaanRI @KPK_RI @Gerindra https://t.co/S0wiva338C,2025-10-31 23:55:40+00:00,Positif,Negatif,Positif
@ins_d21 @OmJ_J3Nggott @prabowo @RajaJuliAntoni Masyarakat bisa menyelesaikan konflik tanah seperti ini melalui jalur hukum formal seperti mengajukan sengketa ke pengadilan agraria atau Badan Pertanahan Nasional untuk verifikasi hak milik. Libatkan mediasi independen dari lembaga seperti Komnas HAM atau LSM lingkungan guna,2025-10-31 23:26:02+00:00,Positif,Positif,Positif
Kelakuan kera kaya gini yg kata @prabowo harus dijamin keamanan dan keselamatannya yaa min @Gerindra ? Jgn diem aja lu @fadlizon @habiburokhman @andre_rosiade @Dahnilanzar ..masih muslim kan lu pada?,2025-10-31 23:23:17+00:00,Positif,Negatif,Positif
guru bahasa inggrisnya dong pak digaji yg layak @prabowo,2025-10-31 20:27:30+00:00,Positif,Negatif,Positif
DEMI NAMA BAIK PAK PRESIDEN @PRABOWO DAN JUGA @DPR_RI DISARANKAN AGAR 47 ORANG ANGGOTA @DPR_RI KOMISI XI INI DIPANGGIL DAN DIPERIKSA. AGAR SEMUA TIDAK ADA YG TERSAKITI . @bang_dasco @KejaksaanRI @bpkri @bank_indonesia @PPATK,2025-10-31 16:22:39+00:00,Positif,Positif,Positif
Prabowo Sambut Pertemuan Trump dan Xi Jinping: Pengaruhi Ketenangan Dunia https://t.co/ZpvBdMm876,2025-10-31 15:31:27+00:00,Positif,Positif,Positif
Cc : @Abe_Mukti @bang_dasco @puanmaharani_ri @MuzaniGerindra Presiden RI @prabowo Mohon perhatian dan tindak lanjut dari bapak/ibu sekalian. Demikian kami sampaikan Pernyataan Sikap dari Forum Rakyat Yogyakarta terkait Kejahatan Jokowi &amp; Gibran Tks https://t.co/DW7iHrP0Q7,2025-10-31 17:36:51+00:00,Positif,Negatif,Positif
Hari ke-377 Bapak Prabowo sebagai Presiden RI ke-8. @prabowo,2025-10-31 17:00:23+00:00,Positif,Positif,Positif
Tulung pak kapolri @ListyoSigitP ditindak mata elang/preman bayaran jg perusahaan yg memakai jasa mrk @KemenkeuRI @AlissaWahid @yennywahid @mohmahfudmd @prabowo @Vr1_Gim @Just_mushlih @MuhammadiyinGL @muhammadiyah @nu_online @nahdlatululama @Syarman59 @MurtadhaOne1 @__AnakKolong,2025-10-31 20:52:48+00:00,Positif,Negatif,Positif
Prabowo Gandeng Selandia Baru Tingkatkan SDM Indonesia [ Sabtu Buzz #Astakom #GenZTakeAway ] https://t.co/Sy4LAVnJIw,2025-10-31 19:42:03+00:00,Positif,Positif,Positif
Pak @prabowo Dikit dikit kok kerjasamanya sama China emang Indonesia sendiri tidak bisa to mencari solusi pengganti gas jika itu terealisasi. Parah amat bahlil https://t.co/jhrTVTMT2Z,2025-10-31 16:50:25+00:00,Positif,Negatif,Positif
@lelembutputih @NurdinTeun43682 @tham878 Benar sentimen anti-Jokowi mayoritas muncul dari internal PDIP yang kecewa atas kekalahan pilpres serta pergeseran aliansi ditambah basis pendukung Anies yang mencari momentum oposisi. Jika pemerintahan Prabowo berhasil memberikan hasil nyata di bidang ekonomi dan,2025-10-31 23:20:37+00:00,Negatif,Negatif,Negatif
Mengurus udang aja gak mampu boro-boro ngurus negara ini. Pak @prabowo menteri bapak tau kerja gak? Masa Depan Ekspor Udang Indonesia ke Amerika Pasca-Kasus Cesium-137 https://t.co/KirOsKqEzO,2025-10-31 17:36:02+00:00,Negatif,Negatif,Negatif
Kayaknya presiden tunduk kpd tekanan LBP. Hutang Whoosh dibayar dgn APBN. Opsi dibayar dgn DANATARA ditolak. LBP masih berkuasa. Prabowo kalah.,2025-10-31 16:29:03+00:00,Positif,Negatif,Positif
Purbaya udh serius. Eh si dungu @prabowo yg ga serius . @Gerindra @bang_dasco https://t.co/vjpHz7T0G8,2025-10-31 21:11:43+00:00,Positif,Negatif,Positif
Di thread gue lihat ada yg nulis saya dukung prabowo siapapun wakilnya,2025-10-31 23:49:15+00:00,Negatif,Negatif,Negatif
Menjadi menantu seorang PNS di masa Jkw - Prabowo memberikan kesempatan melihat perjuangan melewati segala kebutuhan dan dampak inflasi tanpa ada penyesuaian gaji sejak 2019 - sekarang. Hampir 7 tahun tanpa kenaikan gaji PNS @prabowo @menkeu,2025-10-31 22:11:23+00:00,Positif,Negatif,Positif
@lelembutputih @rajasimamora @ApriliaLin Ya dari perspektif Jokowi dukungannya terhadap Prabowo-Gibran bertujuan menjaga kelanjutan program pembangunan nasional yang telah dicanangkan selama dua periode pemerintahannya. Ia menganggap prioritas rakyat dan stabilitas negara lebih utama daripada ketaatan mutlak pada,2025-10-31 22:42:40+00:00,Negatif,Positif,Negatif
Apakah krn terlalu sibuk jd presiden urusan luar negeri hingga @prabowo gk tahu masalah ini?,2025-10-31 22:31:10+00:00,Positif,Negatif,Positif
Tolong di usut pak @prabowo @FPKSDPRRI @FraksiPKB @FPD_DPR @FraksiPPPDPRRI,2025-10-31 23:58:18+00:00,Negatif,Negatif,Negatif
@lelembutputih @rajasimamora @ApriliaLin PDIP memang kalah telak di Pilpres 2024 dengan suara Ganjar-Mahfud hanya 16 5% karena alih dukungan ke Prabowo-Gibran termasuk dari basis Jokowi. Dendam internal tanpa introspeksi akan mempercepat erosi sebab pemilih kini prioritas hasil konkret daripada loyalitas partai.,2025-10-31 23:02:15+00:00,Negatif,Negatif,Negatif
Acara gagal memalukan nama Bangsa Indonesia ‼️ Cc @Menlu_RI @prabowo https://t.co/vFlOrILq9Q,2025-10-31 17:48:59+00:00,Negatif,Negatif,Negatif
Apakah pemerintah kita peduli? @prabowo IKI WARGAMU LOOOOO,2025-10-31 22:03:33+00:00,Positif,Negatif,Positif
@mrtaufik19 @susno2g @KemenkeuRI @tni_ad @Puspen_TNI @prabowo @DivHumas_Polri Tidak klaim bahwa rumah Menteri Keuangan Purbaya Yudha dijaga TNI adalah hoaks. Foto yang beredar berasal dari kejadian lama bukan rumah beliau dan fact-checker seperti TurnBackHoax telah membantahnya. Tugas Provos TNI terbatas pada disiplin internal militer bukan pengamanan,2025-10-31 23:10:12+00:00,Positif,Negatif,Positif
Orang Solo Protes dengan sebutan Geng Solo tepatnya kata beliau Gang Jokowi @jokowi semoga Bung Presiden @prabowo nonton Video ini,2025-10-31 17:31:30+00:00,Negatif,Negatif,Negatif
